Time_spent_Alone,Social_event_attendance,Going_outside,Friends_circle_size,Post_frequency,Stage_fear,Drained_after_socializing,Personality
12.12,0.48,8.07,30.06,16.29,No,Yes,Introvert
13.49,1.78,14.59,22.49,21.44,Yes,Yes,Extrovert
13.83,1.12,8.02,26.55,24.39,No,No,Introvert
11.17,1.04,9.02,38.82,22.92,Yes,Yes,Extrovert
15.93,0.21,14.64,27.14,16.32,Yes,Yes,Introvert
14.04,1.68,8.26,27.58,15.49,Yes,No,Introvert
17.95,0.31,12.04,29.26,22.38,Yes,Yes,Introvert
8.19,0.02,10.2,27.03,22.32,Yes,Yes,Introvert
17.45,1.35,9.48,20.27,16.85,Yes,No,Introvert
13.48,0.8,11.83,28.02,18.05,No,Yes,Introvert
16.44,0.11,12.02,20.27,19.63,No,Yes,Introvert
18.25,0.36,11.86,28.62,23.43,Yes,Yes,Introvert
19.82,1.47,13.22,23.33,19.0,Yes,Yes,Introvert
10.58,1.2,13.02,31.72,24.7,Yes,Yes,Extrovert
12.93,0.11,13.38,20.14,20.82,Yes,Yes,Introvert
14.96,0.47,12.33,38.4,18.85,Yes,Yes,Introvert
19.51,1.58,11.35,38.02,23.77,Yes,Yes,Extrovert
17.59,1.16,10.29,34.18,21.73,No,Yes,Extrovert
15.07,0.79,8.03,39.36,15.33,No,Yes,Introvert
14.34,0.12,8.67,22.32,15.87,No,Yes,Introvert
19.37,1.29,9.34,39.52,19.38,Yes,Yes,Introvert
15.56,0.79,13.58,38.67,22.65,Yes,Yes,Introvert
19.88,0.82,10.86,26.9,16.15,Yes,No,Introvert
11.69,0.63,13.09,30.06,23.24,No,Yes,Extrovert
19.99,0.89,8.85,39.91,23.02,No,No,Introvert
19.65,0.78,10.52,39.96,19.33,Yes,Yes,Introvert
9.15,1.19,9.68,38.7,18.55,Yes,No,Introvert
19.16,1.35,14.9,35.31,20.9,Yes,No,Extrovert
8.16,0.75,11.98,34.32,20.95,No,Yes,Extrovert
18.88,0.68,13.53,39.65,21.02,No,No,Introvert
9.61,1.04,10.86,29.47,16.19,No,No,Introvert
19.4,0.75,14.32,21.37,17.05,Yes,No,Introvert
12.48,1.09,13.78,27.3,19.48,Yes,No,Introvert
13.25,0.13,8.64,27.12,18.44,Yes,No,Introvert
10.4,1.2,11.26,22.3,19.41,Yes,Yes,Extrovert
9.82,0.58,10.04,22.53,17.15,Yes,Yes,Extrovert
12.1,0.56,13.69,34.25,19.34,No,No,Introvert
18.9,1.98,10.28,22.02,19.87,Yes,No,Extrovert
17.71,1.83,10.54,36.01,18.64,No,No,Introvert
19.56,0.31,11.79,27.3,21.03,Yes,Yes,Introvert
14.32,0.34,11.91,31.77,23.05,Yes,Yes,Introvert
19.11,1.11,9.97,35.64,22.24,Yes,Yes,Extrovert
8.46,0.35,10.9,21.5,19.68,Yes,Yes,Introvert
14.72,1.08,10.79,29.95,17.65,Yes,Yes,Introvert
10.23,1.04,13.7,21.23,24.26,Yes,No,Introvert
17.22,0.37,12.44,31.44,23.76,No,Yes,Introvert
14.51,0.3,14.59,24.16,22.4,Yes,Yes,Introvert
11.57,1.12,10.65,29.07,15.75,Yes,Yes,Extrovert
13.4,1.53,8.79,34.3,17.7,Yes,Yes,Extrovert
14.73,0.62,8.68,26.73,23.57,Yes,Yes,Introvert
10.09,0.14,8.1,32.97,21.66,No,Yes,Extrovert
12.66,0.75,12.69,28.85,21.54,Yes,Yes,Introvert
16.49,1.23,12.69,26.03,19.72,No,No,Introvert
18.82,0.04,11.72,35.22,16.79,Yes,Yes,Introvert
16.26,0.83,9.93,21.65,20.39,Yes,No,Introvert
17.13,1.77,11.57,31.83,24.85,No,Yes,Extrovert
12.81,0.49,9.82,20.09,22.2,Yes,Yes,Introvert
13.28,1.6,10.09,32.58,23.59,Yes,Yes,Extrovert
11.71,1.09,12.97,31.29,22.06,No,No,Extrovert
12.2,1.9,12.64,35.22,18.52,Yes,No,Introvert
16.13,0.05,12.31,37.18,22.31,No,Yes,Introvert
10.29,1.04,10.29,36.68,17.27,Yes,Yes,Extrovert
19.52,1.02,12.85,20.63,18.22,Yes,No,Introvert
14.13,1.98,10.32,24.88,17.34,Yes,Yes,Introvert
19.6,1.07,9.02,25.26,20.43,Yes,Yes,Introvert
17.57,1.29,10.07,36.95,24.88,Yes,Yes,Extrovert
13.64,0.9,10.67,35.1,24.58,Yes,No,Introvert
13.15,0.26,14.89,28.86,23.6,Yes,Yes,Introvert
18.41,1.03,8.5,39.03,22.3,No,Yes,Extrovert
17.55,1.97,9.61,27.4,23.25,Yes,Yes,Introvert
8.67,1.11,8.42,26.89,17.15,No,Yes,Introvert
9.21,0.39,10.51,35.93,20.19,No,Yes,Extrovert
11.8,0.64,13.24,31.66,16.3,Yes,Yes,Extrovert
19.33,1.26,10.59,32.51,21.75,No,Yes,Extrovert
16.18,0.09,9.6,36.0,23.38,Yes,Yes,Introvert
16.88,0.25,13.05,36.56,23.92,No,No,Introvert
15.24,1.7,9.74,29.3,16.94,Yes,Yes,Extrovert
15.4,1.37,12.52,39.4,19.31,Yes,Yes,Introvert
13.04,1.79,9.98,31.18,19.36,Yes,Yes,Introvert
16.02,0.34,8.02,32.93,22.96,Yes,No,Introvert
11.19,0.41,8.71,24.41,20.06,No,No,Introvert
18.16,1.58,14.23,34.12,15.84,Yes,Yes,Introvert
15.97,1.21,14.8,22.17,15.25,Yes,Yes,Introvert
12.43,0.51,8.17,32.4,23.0,No,No,Introvert
10.67,1.59,10.88,31.4,22.21,Yes,No,Extrovert
9.81,1.08,11.74,30.85,19.48,No,Yes,Extrovert
16.32,1.08,13.02,35.25,21.13,Yes,No,Extrovert
19.94,0.28,14.82,39.28,22.54,Yes,No,Introvert
16.01,1.19,12.05,34.77,19.11,Yes,No,Introvert
10.87,1.85,12.37,35.39,20.94,No,Yes,Extrovert
18.44,1.3,9.83,22.83,19.84,Yes,Yes,Extrovert
14.02,1.4,12.19,28.95,15.53,Yes,Yes,Extrovert
11.64,1.05,14.71,33.22,24.85,Yes,Yes,Extrovert
18.47,1.47,8.17,25.79,21.07,No,Yes,Extrovert
14.91,1.88,11.59,35.58,16.54,No,Yes,Extrovert
8.74,1.27,10.79,24.01,19.16,Yes,Yes,Extrovert
8.52,0.45,12.56,32.76,24.24,Yes,Yes,Extrovert
8.34,0.92,8.19,33.01,16.76,Yes,Yes,Extrovert
17.98,1.58,14.91,23.16,17.65,Yes,Yes,Extrovert
9.11,1.79,9.45,35.37,21.33,Yes,Yes,Extrovert
14.6,1.36,12.53,37.0,17.48,Yes,Yes,Introvert
19.69,0.11,12.43,23.13,18.58,Yes,Yes,Introvert
14.26,1.74,11.58,24.87,21.66,Yes,No,Introvert
9.75,1.32,14.92,37.8,23.75,Yes,No,Extrovert
18.19,0.3,13.22,22.44,15.75,Yes,Yes,Introvert
19.11,1.17,11.85,38.87,24.11,Yes,Yes,Extrovert
17.92,1.43,10.61,31.45,17.08,Yes,Yes,Extrovert
10.52,0.57,11.34,26.23,20.08,Yes,Yes,Introvert
11.1,0.36,11.04,35.78,24.26,Yes,Yes,Extrovert
12.59,1.95,14.79,20.69,17.84,No,No,Introvert
15.79,0.31,12.59,39.06,19.23,Yes,Yes,Introvert
11.88,0.48,8.35,33.87,20.16,Yes,Yes,Extrovert
13.25,1.51,14.52,30.49,23.18,Yes,Yes,Extrovert
12.65,1.52,9.52,21.28,19.61,Yes,Yes,Introvert
10.54,0.43,8.16,22.05,24.47,Yes,Yes,Introvert
18.53,1.22,11.36,25.05,22.69,Yes,No,Introvert
14.18,1.93,10.59,35.23,21.26,Yes,No,Extrovert
17.72,1.79,14.63,38.37,24.6,Yes,No,Extrovert
17.44,0.09,10.28,23.18,15.56,Yes,No,Introvert
11.75,1.54,14.77,34.57,21.61,Yes,Yes,Extrovert
9.59,0.78,8.35,26.61,23.65,Yes,Yes,Introvert
19.85,0.85,11.11,23.33,24.53,Yes,No,Introvert
15.09,1.72,8.58,35.14,22.28,No,Yes,Extrovert
16.89,1.98,14.04,20.34,23.58,No,Yes,Extrovert
14.67,1.62,14.73,32.48,24.96,Yes,Yes,Extrovert
16.27,1.17,9.92,35.52,21.55,No,No,Extrovert
18.64,1.77,10.12,36.61,24.07,Yes,Yes,Extrovert
17.25,1.43,8.48,34.28,22.5,Yes,Yes,Extrovert
17.83,0.06,11.01,35.19,22.89,No,Yes,Introvert
10.64,1.57,12.02,23.51,16.14,Yes,No,Extrovert
13.03,1.51,8.47,38.09,21.55,No,Yes,Extrovert
17.27,0.19,12.99,30.57,17.36,Yes,Yes,Introvert
9.04,0.77,13.6,39.77,15.33,Yes,Yes,Introvert
18.41,1.4,11.29,38.63,22.55,No,No,Extrovert
11.22,1.69,8.37,37.86,15.76,No,Yes,Introvert
13.94,1.62,11.75,34.73,15.72,Yes,Yes,Extrovert
16.65,1.81,11.57,29.54,15.88,Yes,No,Extrovert
9.58,1.13,13.5,32.27,17.12,Yes,No,Introvert
13.01,1.97,9.31,29.55,23.53,Yes,No,Extrovert
19.93,0.88,14.58,29.71,21.01,Yes,Yes,Introvert
14.64,0.99,9.53,34.01,22.84,Yes,No,Introvert
10.65,0.88,11.33,29.69,20.63,No,Yes,Introvert
17.12,0.83,11.77,25.42,21.77,Yes,Yes,Introvert
13.16,1.27,9.48,29.66,22.28,Yes,Yes,Introvert
